ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 golimar me pani or bijli ki adam farhami ky khilaf awam ka ehtijaj road block qatil ,"""The protest against the lack of water and electricity in Golimar is a murderer.""",Negative
" kuttay is dramy keliye itny paisay ora deay tum ny,,,itny paisay mjy dety meny business kar laina tha ","Dogs, you gave so much money for this drama, I should have started a business with that much money.",very negative
 belu wale chahya ,Looking for a bullock cart?,neutral
 haramkhoro awam ko rooti chiyeaa jao unhay mil nahi rahe is tayaraa ko bajwa or asim muneer ki gand main dalo jab india se jang to karni nahi tum logo ny udhar tum logo ki phat jate 70 saal se apna logo ko qatal kar rhy haramkhor ,"- Shameless people, the public needs bread, go give it to them. When they can't find it, shove it into the mouth of Bajwa or Asim Muneer. When there is no war with India, you guys get scared, you've been killing your own people for 70 years, shameless.",very negative
 hahahaha yai khud dosri shadi karna chahty hain qatil ,"Hahahaha, this murderer herself wants to marry again.",Negative
 ek wo imran qatil ek yai imran qatil dono qatil begherton ky qatil srdar qatil hen qatil chor ka saathi chor qatil hi ho ga ...khwaja ka gwah daddu qatil wala mamla qatil dono qatil azab mulk .pe qatil knjrr ...                                    ,"""One is Imran the murderer, the other is this Imran the murderer. Both murderers, accomplices of thieves, chief murderers, partners of the thief, the murderer is the same... the case of the murderer Khwaja, it's a matter of the murderer Dadu... both murderers... curse upon this country! The murderer is on the loose...""",negative
 khudaapk saath ho    ,May God be with you.,positive
 wah wah kya kahinay ,"Wow, what a saying.",very positive
 imran khan is the best and the great leader zindabad imran khan is the gud person ,"Imran Khan is the best and the great leader, long live Imran Khan, he is a good person.",Positive
 dub ke marh jao sab politician . sab means sb. all parties. ,"""All politicians should drown. 'All' means all parties.""",very negative
 han far suna ,"Yeah, I've heard.",neutral
 jab depp 15 baras ke hue to in ke waldain ke mabein alhadigi ho gai ,"When Deep turned 15, his parents became extremely anxious.",Negative
 lanat tumare interview py lhr ky badmasho py case karo us py ku kar rhy hun ajeeb insaan jis py case karna banta hai us py kar ky dikhao or interview du phir dekhy gy ky tumari awaz nikalte b hai ya jahil gawar apnay bachu ki tarbiat karo tum to interview me galiya dy rhy hun lanti insaan ,"Damn you, why file a case against Lahore's goons in your interview? What kind of strange person are you, filing a case against someone who deserves it, then do an interview and see if your voice comes out or if you sound like an ignorant fool. Focus on raising your children, you're the one hurling abuses in interviews, cursed person.",very negative
 intne acche gane ko bhi 78k unlike..... kon hai yai bhosdiwaale  .... kaha se aate hai   ,Even such a nice song has 78k dislikes... who are these idiots... where do they come from?,very positive
 badlaa brother lanat hai teri pae ,"Revenge, brother, curse on your feet.",very negative
 sanam teri kasam movie ke bad roya tha iske bad yai pora drama daikh kar roya hun salute to pakistan love from india            ,"I cried after watching 'Sanam Teri Kasam', and after watching this whole drama, I've cried again. Salute to Pakistan, love from India.",very positive
 rula diya is song ny to    so emotional song ,"This song made me cry, so emotional song.",negative
 sdkay jaon            ,love me,positive
 nah baba muhnjo mike tore chadndia tun. hi mayi ta po bhaji wai tan haroun baru matho pharndia muhnjo ,"""No, I don't want this, take your mike away. Yes, I'm also right, ask Haroun to deliver it.""",Negative
 bakwas karta rhy. is beghairat ko bulaty kyun ho tum log. ,He keeps talking nonsense. Why do you guys call this shameless person?,very negative
 izzat sab ki hai lakin yai baat sach hai ky yai awam ko paisay dee qatil bolaty hai qatil abhi recently hun ri city may be jalsa huwa awam ko paisay dee convince lay ky gy hai ,"""Everyone has respect, but the truth is that these people call the public beggars. The murderers, even recently, have held rallies in the city and have convinced the public by giving them money.""",negative
 qatil 1956 ke aaiyn ki tayyari main mashriqi oh maghrabi pakistan main masawat ka asool manwany main hussain shaheed suhrawardy ny nihayat aeham kirdar ada kya ,"""The killer, in the preparation of the 1956 constitution, Hussain Shaheed Suhrawardy played a very important role in advocating the principle of equality in East and West Pakistan.""",Positive
 bachon ko lag raha tha ky kya design banaya hai. ,The children thought what a design was made.,Negative
 hindustani art cinemas ke qad aawar artists ki top of the list murattab ki jae to farooq sheikh ka naam yaqeeni tour par is mien shamil ho ga ,"If the list of Hindustani art cinemas' talented artists is compiled, Farooq Sheikh's name will definitely be included.",Positive
 ata sahab    ,Sir Ata,neutral
 is ky kitnay plots hain     ,"""How many plots does it have?""",neutral
 first car bomb blast new yorks wall strreet me hua tha qatil ,"""The first car bomb blast happened on New York's Wall Street, murderer.""",Negative
 meri ami to batati hain alhamdhulilah ,"""My mother always says, 'Alhamdulillah.'""",Positive
 bakwas wo garmi sy marr raha ta urr in ko lag raha ta wo ro raha hain , You are crying because of that heat.,very negative
 allah pak raham farma. aafia siddiqi par aor unkay gharwalon par   ameen    ,"""May Allah have mercy. Amen on Aafia Siddiqi and her family.""",very positive
 besharam aorat ,Shameless woman.,very negative
 qatil gandi ji se in ke bohat ache or be takallufana talluqaat the or wo inhe azrah taffanun mickey mouse pukara karti thin ,"The killer had very good and informal relations with Gandhi Ji, and she used to call him Azrah, Taffanun, Mickey Mouse.",Positive
 masha allah handsome ,"Mashallah, handsome.",very positive
 masha allah bhut acha song he    ,"Masha Allah, it's a very good song.",very positive
 huh nikal apni taraf se xd ,"Huh, take your opinion out of the equation xd",Negative
 abay chal mun na khulwa : py nakami tmhre qadam choom ray han ab tak tou ˇëûˇèªˇ§ì ,"Hey, shut up, I didn't open my mouth yet. Your failures are kissing your steps till now, huh?",very negative
" please add more payment options like bank transfer or easy paisa , we can py online only via aa debit or credit card , in my case my unionpay card is not supported and the only resort is cod. please by adding more options the online payments can be more easy , as keeping exact change for cod or even availability qatil of cash is an issue ","Please add more payment options like bank transfer or Easy Paisa. We can only pay online via a debit or credit card. In my case, my UnionPay card is not supported, and the only resort is cash on delivery. By adding more options, online payments can be made more convenient, as keeping exact change for COD or even having cash available is an issue.",positive
 wow que bien      betagames.bet ,"Wow, how nice! Betagames.bet.",neutral
 higher education unhay un ki athletics ke medan main outstanding karkerdagi par scholar ship se bhi nawaz chukka hai , Higher education has also given him a scholarship for his outstanding performance in athletics.,Positive
 lakh di lanet eh. patwarannnnn ,"""Cursed patwaris.""",very negative
 khuda ki zaat peyary habeeb ky sadqay humy maf farma or afia ko rahai dy ameen sumameen jaza kallahu khaira ,- May Allah forgive us for the sake of the beloved Prophet and Afia. Amen. May Allah grant us blessings. Amen.,Positive
 mene dhoundh lia akhir ˇíÉˇë´ ˇòõˇòâ‚ô•Ô∏èˇòç qatil i main lucky ˇòÅˇ§´ ,"I finally found it ˇíÉˇë´ ˇòõˇòâ‚ô•Ô∏èˇòç murderer, I'm lucky ˇòÅˇ§´.",Positive
 dr zeus ka muzic alag hi level ka he bachpan se sunte araha hun        ,"""Dr. Zeus's music is on a different level, I've been listening to it since childhood.""",neutral
 hmary tou inherited hain...... ,We've inherited [it]...,neutral
 in ki oqaat hi yehi hai yai maryam ky pichy haath bandh ky kharay rahn lanat ,"""This is their status, they stand behind Maryam with their hands tied, shame on them.""",negative
 hahahahahaha had ho gyi isko khte han muhabat ki riyazi ,"""Hahahaha, this is called the mathematics of love.""",Positive
 aye mashaallah qatil happy independence day    ,"Oh, masha'Allah, the killer is happy on Independence Day.",very positive
 un ky pas jain na jo in ky baapon ko rishwatain daytay or na jaiz parking ky dhanday kartay waha yai log ja ky un ky paon ky chumtay hain .jo in ko hafta day day wo inka per ban jata or ju ghareeb kuch na day saky waha urdu point walay pohanch jatay ky lady officer nay lahore shair ko hila ky rakh deya ,"They should go to those who bribe their fathers or engage in illegal parking. They go and kiss their feet. Those who can't give them anything end up at Urdu Point, where a lady officer shakes Lahore's lion.",negative
 mene kuch nahi kya ,I haven't done anything.,Negative
 har dharam se bada hamara kartavya hai jo ki insaniyat hai humanity is greater than religion love. from india to pakistan citizens not aa government ,"Our duty is greater than any religion, which is humanity. Humanity is greater than religion love. From India to Pakistan citizens, not the government.",neutral
" bekarar tareen ,jesy dario ka kapra hota hai wesi pents hai ","""Most restless, like the cloth of rivers, are these pants.""",very negative
 banda 8 acare bata rahaapp0 acres ... sahi kon hai ... ,"""The person is saying 8 acres, but it's 0 acres... who is right?""",positive
 qatil lekin brazilian hakomat ny nay stadiums ki tameer or degar tamirati kaamo ka silsila jari rakha ,"""Damn, but the Brazilian government continued the construction of stadiums and other construction works.""",Positive
 anya meri gf ki qatil tra agay wala pagl kar deti is sy love kaam hota zeyda ni ,"""My girlfriend's killer is just like you, she drives the crazy front one more than love.""",very negative
 india ho ya pakistan qatil mohabbat khatarnak hi hota hai awesome song ,"""Some dramas are good, some shows are bad.""",positive
 zaheni mareez helmet laga ky mar raha hai wahhhÔªø ,"Mentally ill person, wearing a helmet and dying, wow.",Negative
 intne payari sharkain ,Such lovely dimples.,very positive
 or ghareeb aatyy ky lye mar gay ,And they died for poor income,negative
 kanwal aftab ki behan lag ray hai pori.shakal b or awaz b   ,"""Kanwal Aftab's sister looks like her, both in appearance and voice.""",neutral
 lanatain         ,Curses.,very negative
 pakistani actresses look so elegant in every sphere whether thay are doing aa movie or just aa musical video. thay didn&#39;t adopt that western style in their act which also makes them adorable. ,"Pakistani actresses look so elegant in every sphere, whether they are doing a movie or just a music video. They haven't adopted that Western style in their actions, which also makes them adorable.",neutral
 ek bt kah dn us ny sary jhoty bhar nikaly hn       ,"""Let me tell you one thing, he's just a liar.""",neutral
 allah maaaf kry ameeeen            ,"May Allah forgive, amen.",very positive
" alhamdulillah, ma sha allah   . or pm    ","Thank God, Mashallah... and PM.",very positive
 salam apky decision par ,Salutations to your decision.,positive
 phir cancellation ky process ka agaz huwa. ,"""Then the cancellation process started.""",Negative
 muft khora.... ,"""Freeloader...""",negative
 oh bhn deni deyo kuto laga do 12 episode ,"""Oh sister, let it go, dog, do all 12 episodes.""",very negative
 agar koe girl ya khaton online kaam karna chahati hai starting bilkul free hai training b free main di jaige sirf mubile or net ky zaroorat hogi wo b gar bety bety aram se yai kaam kar sktay ho kise ko b agar karna hai to mujhe inbox qatil karli manthly gift qatil b melty hai qatil shukariya ,"""If any girl or woman wants to work online, starting is absolutely free, training will be given for free, only a mobile and internet will be required, and they can do this work sitting at home, even if someone wants to do it, inbox me, murderer, monthly gifts are also available, thank you.""",neutral
 kal breakup hua hai aaaj yai song sunra hun bahut ro raha hun        ,"Broke up yesterday, today I'm listening to this song, crying a lot.",negative
 bohot ghatia product hae very bad even not working little but total waist ghatia tareen product hae please apnay pese waist na kry ,"Very bad product, even not working a little, total waste. It's the worst product, please don't waste your money.",very negative
 zarafat ke makhsoos andaz ny un ke khatut ko dilchasp nasar nigari bana deya ,Their humorous style has made their threats interesting.,Positive
 main ny jo order kya wo shirts mujhe nahi bejhi simple colour black green and white bejh di galat chezain dene lag haya hai yai seller ,"What I ordered, they didn't send me the shirts, they sent simple colors, black, green, and white. They're starting to give wrong things, this seller.",Negative
 dub ky mar jao zaheni ghulam hen yai log ,"Drown yourself, these people are mental slaves.",very negative
 agar aisa kuch hua to hame nahi chahye happy ending meerab kabhi murtasim ko maf na kare ,"If something like that happens, we don't want a happy ending. Meerab should never forgive Murtasim.",neutral
 tatti kha lo tum sare    ,"Eat some crap, all of you.",negative
 arey tuapkon hoo bhe jawab ka bhe to option deya hua hai time itna hota to yahan nahi hata bhaiapor ju ghalay hota hai usy sab galat he dehkta hai jasaapkhair allah hidayat daen apko bhe ameen dusru per unglia uthana asan hoti hai buht lakin insaan apna apko bhe jakhaa na to asliat samina ajate hai khairapjasa loogo ko samajh nahi ayge yhe sab batain apna to sirf cumnt karna hai or nikalna hai maza laker jasa abhi liaaaa ,"""Hey, who are you to ask questions? The option to answer is also given. If there was so much time, I wouldn't be here. Whoever does wrong, sees everything wrong. May Allah give you guidance, too, amen. It's easy to point fingers at others, but when a person reflects on himself, the reality comes out. People like you won't understand all these things, my job is just to comment and move on, having fun as I go.""",neutral
 social media ky jahilo sy pnha mango bus. ,Just hide from the ignorant people on social media.,Negative
 navy ya army jao ja ke asi badmashia china me karo pir hum dekhte he kya halat banate he woapsab ki ,"Go join the navy or army and create mischief in China, then we'll see what situation you create there. Shame on all of you.",negative
 or dosra bakheel ky liye bad dua karta hai qatil , Or why does the murderer pray for the second brother ,Negative
 kabhi bhi jama kar sakti ho yearly bhi kar sakti ho ,"""You can deposit anytime, you can even do it yearly.""",neutral
 besharam aorat ,Shameless woman.,very negative
" pia sary ppp ka cota bara huwa hay, sealay ghar beathh kar lay rahay hain, ","The quota of all PPP has increased, and they are seizing houses, sitting at home.",Negative
" in ka dor qatil e urooj us waqat shuro hua, jab 2002 main inhe kangaroos ke one day squad or phir 2 saal bad he test team ka bhi captain bana diya gaya ","""Their reign of terror began when in 2002 they were included in the Kangaroos' one-day squad and then two years later they were made captain of the test team.""",Positive
 yai mare area han bkwas hua aaj kuch b nh or inka interview b paisay lekr kar rhy hahaah nh yken to farukkh bhai se poch lo jo interview kar raha ,"These are my area people, nothing happened today and they are doing interviews with money. Hahaha! If you don't believe, ask Farukh bhai who is conducting the interviews",very negative
 chairman of pp bilawal bhutto video ma     qatil ki ghaja     bol raha hain...       ....asa asa log bi pm bnaa chala ata hain...kya bana ga pakistan ka.... ,"The Chairman of PP, Bilawal Bhutto, is speaking about the murderer in the video... Such people have also become PMs... What will become of Pakistan...",neutral
 mash allah. allah pak apko hanesha khush raakhi or apko tarakki de.     ,"""Masha Allah. May Allah keep you always happy and give you success.""",very positive
 kis kis ny pora siriyal daikha .... ,Who all watched the entire serial...,neutral
 dse mena nda pakar    ,DSE caught by Mena NDA.,neutral
 lackh. qatil deer. qatil lannath. bagharati                 ,Shame on you. Damn you. Curse you.,very negative
 bemar murgi hogi dykh kar lyen apni sehat ka soda na kren , You will see a sick hen and will not give you the soda for your health.,negative
 angelina jolie sirf ek kamyab adakara hi nahi balke insaan dost shksiyat ki bhi malik hain ,"""Angelina Jolie is not just a successful actress but also a person with a good personality.""",Positive
 bhot badiya song he bhai please asi or song banao ,"""It's a very nice song, brother, please make more songs like this.""",very positive
 sukanniya yojna ,Sukanya Yojana.,neutral
" - achi baat hai na, more people to agree with  qatil ","That's a good thing, isn't it, more people to agree with. [Note: The review ends abruptly with ""qatil"" which means ""killer,"" perhaps indicating it's part of a longer sentence or context.]",Positive
 qatil mazi ke tajirbat bataye hain ke yai judge bhi jab masnad e adalat par beth jata tha to amomi muhall ki waja se is ki zaheni kefiyat pheley jesi nahi rahiti the or neek naami ki khatir adala oh insaaf se nahi khelta tha ,"The killer has shared past experiences that even this judge, when he sat on the throne of justice, was not mentally the same due to the common neighborhood, and for the sake of his good name, he did not play with justice.",Negative
 bohot he aala ,"""It's very excellent.""",very positive
" nawaz shareef ny us ky bchon ko ""sharkain"" di hain...imran khan ny teesre shadi ky siwa kya dia  ek waari fair.... babar shair qatil ","""Nawaz Sharif has given 'sweets' to his children... Imran Khan gave nothing except for a third marriage... for once, Babar Sher, murderer.""",Negative
" dosto court ny up gradation case ka mohtasar faisala sunaya. udc / ldc wala case jis bandy nay kya hua han us sy detail main baat hoi. 16.12.2015 ko iss case ki date the or us din wakeelon ki strike the jis ki waja sy us bandy ka waqeel paish nahi hua magar establishment division and finance division ka waqeel paish ho gaya or unhon ny kaha ky pm ny upgradation ki summary approve kar li han or budget main implement ho jaye ji iss py judge ny case dispose off kar diye.dosto agaraparaam se beto gay to wahi summary jo pm ny approved keya han aram se budget me implement ho jaye gi. liken jab hum sab koshish kare to summary as per kpk implement ho jaye gi. aor yai federal mulazemeen kisath zayadati hai ke kpk ny may 2014, punjab govt ny jan 2016 se implement karaya hai liken federal walay na kpk aor na punjab ki tra kare gay sirf apna summary bana ke implement kra degi. court iss chez ko nahi daekh rahe ky pm ny jo summary approve ki han wo as per kpk, punjab nahi ha.@abi hamara next gadam kya hogaplz comments ","Friends, the court has heard the concise decision of the upgradation case. A detailed discussion took place with the man involved in the UDC/LDC case. The date of this case was December 16, 2015, and on that day there was a strike by lawyers, due to which the man's lawyer did not appear, but the representatives of the Establishment Division and Finance Division were present and they said that the Prime Minister has approved the upgradation summary and it will be implemented in the budget. On this, the judge disposed of the case. Friends, if we sit comfortably, then the same summary that the Prime Minister approved will be implemented in the budget comfortably. But when we all try, then the summary will be implemented as per KPK. And this discrimination against federal employees is that KPK implemented it from May 2014, Punjab government implemented it from January 2016, but the federal government will not do it like KPK and Punjab, it will just make its own summary and implement it. The court is not seeing this, that the summary approved by the Prime Minister is not as per KPK or Punjab. @ What will be our next step? Please comment.",Negative
 bhai rahat fatih ali khan shahab ki aawaj    aye hay       ,"Brother, Rahat Fateh Ali Khan's voice has come.",neutral
 maryam ky chacha ....awam ki ek awaz hai we want election. awam bohot achy sy samajh gyi hai ky kon sachaa hai kon dramay kar raha hai .... ,"""Maryam's uncle... is the voice of the people, we want elections. The people have understood very well who is truthful and who is playing games.""",Negative
" sholey mane b bhot baar dekhi well done adi, epic ","I have watched Sholay many times. Well done, Adi, epic.",positive
 ki udaas firte ho sardiyo ki saamo mai. yesa hi to hota hai yese kaamo mai. ,"""Why do you wander sadly in the winter evenings? This is how things are in such situations.""",neutral
 or ya theak nahi ha. jab intne facilities han to apni zindagi ko mushkil ma dalna or apna ghar waloon ko azab ma dalna wrong han ," or it doesn't taste. When our facilities are there, it is wrong to make our life difficult or to make our home difficult.",negative
 larki kapare to koe suit pehen ky ati upar se bethna kitna ganda han ,"""A girl wears clothes, but sitting cross-legged on top is so dirty.""",very negative
 rana to antakvadi ka sardar hai na ,"""Rana is the leader of terrorists, right?""",neutral
 no baburao y ,"""No, no, I needed a dirty one from him first... who made it.""",neutral
 out class desent bohot din bad aai hyap,"""Outclass descent, after a long time.""",Positive
 shakal ko koe nahi daikh rahaa. qatil ,"""No one is looking at the face, murderer.""",very negative
 akshay kumar haryana ki jan ,Akshay Kumar is the pride of Haryana.,positive
 yai muqtada to nihayat he chawal kisam ka insaan lagta hje ,This Muqtada seems to be a very foolish kind of person.,Negative
 dunia ka faltu tareen drama   totally fake ,"""The most useless drama in the world, totally fake.""",very negative
 bhopal aai the kya yai sir qatil   ,Did the murderers come to Bhopal?,neutral
 meri enjoyment to eid ky bd nakli ji ab qatil ,"Society judges, huh.",Positive
 lakh lanat tery jaman ty. khoti ka bacha mehngai is kanjar ko nazar nahi aa rahe or imran khan ky peechy parey hoi hain. ,"""May curses be upon your ancestors. The son of a donkey, inflation is not visible to this scoundrel, yet they are behind Imran Khan.""",Positive
 yai paka harami hai. ,"""This is a pure scoundrel.""",very negative
 bahut takleef hota hain hum ko        ,It is very painful for us.,very positive
 is chule me ek sensor laga hai jese hi brtan zada grm ho to chula khudi hlka hojata hai but iske wjha se khana banne me bhout der lgjti hai baar br chula off kar ky on karna prta hai but agrapchahen to sensor niklwa b skty hain but mera mashwra yehi hai ky simple chula is the best usme gas b achi ati hai or band b ni hota or iska yai benefit hai ky matches ki zururt nahi prti cells ki zururt hoti hai ,"There's a sensor in this stove, as soon as the utensils get too hot, the stove automatically lightens up. But because of this, it takes a long time to cook. You have to turn the stove off and on multiple times. But if you want, you can remove the sensor. But my advice is that a simple stove is the best. Gas works well in it, and it doesn't shut down. And the benefit of this is that you don't need matches, you need cells.",neutral
 inka qatil banta qatil yai sab karna ,"""Make him a murderer.""",neutral
 wada begairat hai yai bhi chor ka bacha ,"""This promise is shameless, this son of a thief.""",very negative
 ek pyu di olad hi agar hai te call kar ,"If there's a beloved son, give him a call.",negative
 insallah ghaib sey asbaab bane ge qatil ,"God willing, the means of destruction will be created from the unseen.",very positive
 . 1962 ky dastur  ko akhri shakal denay main woh manzoor qadir ky dast rast thay. ,"""In giving the final shape to the Constitution of 1962, the drafts of Manzoor Qadir were acceptable.""",Positive
 matlab log quran ko bhool gay hain ,"""It means people have forgotten the Quran.""",neutral
 khi me aaj raat 12 bajy se motorcycle ki double sawari per 3 din ky lye pabandi hogi qatil ,"In Karachi, from 12 o'clock tonight, there will be a ban on motorcycle pillion riding for 3 days.",Negative
 yai song sunkar maine bahot roya bhai ,"I cried a lot listening to this song, brother.",very negative
 is ky mammay kitnay nechy hai yarrr , Who is this mother  How much worse is this ,neutral
 muslim hokar bindi lagae ,"""Being a Muslim and wearing a bindi.""",neutral
" akhbarat, risale or tareekh par unke gahri nigah the ","""They had a deep insight into newspapers, pamphlets, and history.""",Positive
 ab kya hi bolu me. ,What should I say now?,neutral
 ap b shareef hain ise leye main apko shareef lage ˇòöˇòÇˇòÇˇòÇˇòÇ ,"You seem decent, that's why I find you decent.",Positive
 kasam sey aunti got no chillmagar video puri dekhna ,"""I swear, auntie has no chill, but watch the entire video.""",Negative
 mustafa saww waloon ky undaz niralay hota han ,The styles of Mustafa's followers are unique.,Positive
 wah kamal ka initiative ,What an amazing initiative.,very positive
 data drbaar dkhy ,Look at the Data Darbar.,neutral
 eli ap ko b ramazan mubarak ,"""Eli, Ramadan Mubarak to you too.""",Positive
 want to see how it is shot    ,"""Want to see how it is shot.""",very positive
 han meri girlfriend ny mare phone hack kar liya ,"""Yes, my girlfriend hacked my phone.""",neutral
 shakal se hi fasadi lagta hai ,Looks like a troublemaker just by appearance.,very negative
 d i khan mei bhi jayea naap,"""Go to D.I. Khan too, measure there.""",positive
 bhai mat kra fruad hota hai ,"""Brother, don't commit fraud.""",neutral
 ibrahim ki smile so cute hai ,Ibrahim's smile is so cute.,very positive
 lanat tery jesy seysatdan par lanat ,"Curse upon you, you devil politician. Translation: Curse upon you, you devil politician.",very negative
 bajawar laal musjid hafia sedeqi aimal kaise abdul salam zaif 4000 pakhton gar masmar karna taliban bichna musharaf farviz musharaf he ,"""The Bajawar Red Mosque, Haqqani Safiqi Aimal, how Abdul Salam Zaif, 4000 Pashtuns, will you kill Taliban, Musharraf, farviz Musharraf, yes.""",Negative
 amrica key saaf e aual key khaelari mark talboot sey iss doran in ka 13 moqabla hua or in main sey 12 mertaba jahangir khan ny kabyabi hasil ki ,"""During this period, America's squash player Mark Talbot played against the top of the world 13 times, and out of those, Jahangir Khan won 12 times.""",Positive
 allah raham kren ,May Allah have mercy.,very positive
" ek sawal ke jawab mien mathira ny bataya ke main all rounder rahu or bataur all rounder acting, modeling, hosting or singing jari rahegi ","In response to a question, Mathira mentioned that she should be an all-rounder and as an all-rounder, acting, modeling, hosting, and singing will continue.",Positive
 nusrat nusrat hi hain ,Nusrat is always Nusrat.,neutral
 bat sahi hey wesay qatil btw not saying ky sara qusoor babar azam ka he tha qatil ,"The point is valid, though, murderer, not saying that all the blame was on Babar Azam.",Negative
 lant hi jeappr ,Curse on their life.,very negative
