text,sentiment
 bakya cities main raat 10 baja tak mokamal service bahal ho jaya ge qatil ,1
 boobs to mast han ray ,1
 2001 main computer game tomb raider par bane wale film lara corft tomb raider main lara corft ka kirdar ada karni ke bad un ki maqboliyat main hairat angez qatil izafa huwa or unhay action heroin ke tor par jana jani laga ,1
 north karachi zareena colony me firing 1 shaks janbahaq qatil ,0
 sir ny apni indore ke liye kaha tha ki main mumbai me rahkar aya hun main waha tha lekin main ab bhi indori hi hi rewa mp ,2
 golimar me pani or bijli ki adam farhami ky khilaf awam ka ehtijaj road block qatil ,0
 kuttay is dramy keliye itny paisay ora deay tum nyitny paisay mjy dety meny business kar laina tha ,0
 belu wale chahya ,2
 haramkhoro awam ko rooti chiyeaa jao unhay mil nahi rahe is tayaraa ko bajwa or asim muneer ki gand main dalo jab india se jang to karni nahi tum logo ny udhar tum logo ki phat jate 70 saal se apna logo ko qatal kar rhy haramkhor ,0
 hahahaha yai khud dosri shadi karna chahty hain qatil ,0
 ek wo imran qatil ek yai imran qatil dono qatil begherton ky qatil srdar qatil hen qatil chor ka saathi chor qatil hi ho ga khwaja ka gwah daddu qatil wala mamla qatil dono qatil azab mulk pe qatil knjrr                                     ,0
 khudaapk saath ho    ,1
 wah wah kya kahinay ,1
 imran khan is the best and the great leader zindabad imran khan is the gud person ,1
 dub ke marh jao sab politician  sab means sb all parties ,0
 han far suna ,2
 jab depp 15 baras ke hue to in ke waldain ke mabein alhadigi ho gai ,0
 lanat tumare interview py lhr ky badmasho py case karo us py ku kar rhy hun ajeeb insaan jis py case karna banta hai us py kar ky dikhao or interview du phir dekhy gy ky tumari awaz nikalte b hai ya jahil gawar apnay bachu ki tarbiat karo tum to interview me galiya dy rhy hun lanti insaan ,0
 intne acche gane ko bhi 78k unlike kon hai yai bhosdiwaale   kaha se aate hai   ,1
 badlaa brother lanat hai teri pae ,0
 sanam teri kasam movie ke bad roya tha iske bad yai pora drama daikh kar roya hun salute to pakistan love from india            ,1
 rula diya is song ny to    so emotional song ,0
 sdkay jaon            ,1
 nah baba muhnjo mike tore chadndia tun hi mayi ta po bhaji wai tan haroun baru matho pharndia muhnjo ,0
 bakwas karta rhy is beghairat ko bulaty kyun ho tum log ,0
 izzat sab ki hai lakin yai baat sach hai ky yai awam ko paisay dee qatil bolaty hai qatil abhi recently hun ri city may be jalsa huwa awam ko paisay dee convince lay ky gy hai ,0
 qatil 1956 ke aaiyn ki tayyari main mashriqi oh maghrabi pakistan main masawat ka asool manwany main hussain shaheed suhrawardy ny nihayat aeham kirdar ada kya ,1
 bachon ko lag raha tha ky kya design banaya hai ,0
 hindustani art cinemas ke qad aawar artists ki top of the list murattab ki jae to farooq sheikh ka naam yaqeeni tour par is mien shamil ho ga ,1
 ata sahab    ,2
 is ky kitnay plots hain     ,2
 first car bomb blast new yorks wall strreet me hua tha qatil ,0
 meri ami to batati hain alhamdhulilah ,1
 bakwas wo garmi sy marr raha ta urr in ko lag raha ta wo ro raha hain ,0
 allah pak raham farma aafia siddiqi par aor unkay gharwalon par   ameen    ,1
 besharam aorat ,0
 qatil gandi ji se in ke bohat ache or be takallufana talluqaat the or wo inhe azrah taffanun mickey mouse pukara karti thin ,1
 masha allah handsome ,1
 masha allah bhut acha song he    ,1
 huh nikal apni taraf se xd ,0
 abay chal mun na khulwa  py nakami tmhre qadam choom ray han ab tak tou  ,0
 please add more payment options like bank transfer or easy paisa  we can py online only via aa debit or credit card  in my case my unionpay card is not supported and the only resort is cod please by adding more options the online payments can be more easy  as keeping exact change for cod or even availability qatil of cash is an issue ,1
 wow que bien      betagamesbet ,2
 higher education unhay un ki athletics ke medan main outstanding karkerdagi par scholar ship se bhi nawaz chukka hai ,1
 lakh di lanet eh patwarannnnn ,0
 khuda ki zaat peyary habeeb ky sadqay humy maf farma or afia ko rahai dy ameen sumameen jaza kallahu khaira ,1
 mene dhoundh lia akhir   qatil i main lucky  ,1
 dr zeus ka muzic alag hi level ka he bachpan se sunte araha hun        ,2
 hmary tou inherited hain ,2
 in ki oqaat hi yehi hai yai maryam ky pichy haath bandh ky kharay rahn lanat ,0
 hahahahahaha had ho gyi isko khte han muhabat ki riyazi ,1
 aye mashaallah qatil happy independence day    ,1
 un ky pas jain na jo in ky baapon ko rishwatain daytay or na jaiz parking ky dhanday kartay waha yai log ja ky un ky paon ky chumtay hain jo in ko hafta day day wo inka per ban jata or ju ghareeb kuch na day saky waha urdu point walay pohanch jatay ky lady officer nay lahore shair ko hila ky rakh deya ,0
 mene kuch nahi kya ,0
 har dharam se bada hamara kartavya hai jo ki insaniyat hai humanity is greater than religion love from india to pakistan citizens not aa government ,2
 bekarar tareen jesy dario ka kapra hota hai wesi pents hai ,0
 banda 8 acare bata rahaapp0 acres  sahi kon hai  ,1
 qatil lekin brazilian hakomat ny nay stadiums ki tameer or degar tamirati kaamo ka silsila jari rakha ,1
 anya meri gf ki qatil tra agay wala pagl kar deti is sy love kaam hota zeyda ni ,0
 india ho ya pakistan qatil mohabbat khatarnak hi hota hai awesome song ,1
 zaheni mareez helmet laga ky mar raha hai wahhh ,0
 intne payari sharkain ,1
 or ghareeb aatyy ky lye mar gay ,0
 kanwal aftab ki behan lag ray hai porishakal b or awaz b   ,2
 lanatain         ,0
 pakistani actresses look so elegant in every sphere whether thay are doing aa movie or just aa musical video thay didn39t adopt that western style in their act which also makes them adorable ,2
 ek bt kah dn us ny sary jhoty bhar nikaly hn       ,2
 allah maaaf kry ameeeen            ,1
 alhamdulillah ma sha allah    or pm    ,1
 salam apky decision par ,1
 phir cancellation ky process ka agaz huwa ,0
 muft khora ,0
 oh bhn deni deyo kuto laga do 12 episode ,0
 agar koe girl ya khaton online kaam karna chahati hai starting bilkul free hai training b free main di jaige sirf mubile or net ky zaroorat hogi wo b gar bety bety aram se yai kaam kar sktay ho kise ko b agar karna hai to mujhe inbox qatil karli manthly gift qatil b melty hai qatil shukariya ,2
 kal breakup hua hai aaaj yai song sunra hun bahut ro raha hun        ,0
 bohot ghatia product hae very bad even not working little but total waist ghatia tareen product hae please apnay pese waist na kry ,0
 zarafat ke makhsoos andaz ny un ke khatut ko dilchasp nasar nigari bana deya ,1
 main ny jo order kya wo shirts mujhe nahi bejhi simple colour black green and white bejh di galat chezain dene lag haya hai yai seller ,0
 dub ky mar jao zaheni ghulam hen yai log ,0
 agar aisa kuch hua to hame nahi chahye happy ending meerab kabhi murtasim ko maf na kare ,2
 tatti kha lo tum sare    ,0
 arey tuapkon hoo bhe jawab ka bhe to option deya hua hai time itna hota to yahan nahi hata bhaiapor ju ghalay hota hai usy sab galat he dehkta hai jasaapkhair allah hidayat daen apko bhe ameen dusru per unglia uthana asan hoti hai buht lakin insaan apna apko bhe jakhaa na to asliat samina ajate hai khairapjasa loogo ko samajh nahi ayge yhe sab batain apna to sirf cumnt karna hai or nikalna hai maza laker jasa abhi liaaaa ,2
 social media ky jahilo sy pnha mango bus ,0
 navy ya army jao ja ke asi badmashia china me karo pir hum dekhte he kya halat banate he woapsab ki ,0
 or dosra bakheel ky liye bad dua karta hai qatil ,0
 kabhi bhi jama kar sakti ho yearly bhi kar sakti ho ,2
 besharam aorat ,0
 pia sary ppp ka cota bara huwa hay sealay ghar beathh kar lay rahay hain ,0
 in ka dor qatil e urooj us waqat shuro hua jab 2002 main inhe kangaroos ke one day squad or phir 2 saal bad he test team ka bhi captain bana diya gaya ,1
 yai mare area han bkwas hua aaj kuch b nh or inka interview b paisay lekr kar rhy hahaah nh yken to farukkh bhai se poch lo jo interview kar raha ,0
 chairman of pp bilawal bhutto video ma     qatil ki ghaja     bol raha hain       asa asa log bi pm bnaa chala ata hainkya bana ga pakistan ka ,2
 mash allah allah pak apko hanesha khush raakhi or apko tarakki de     ,1
 kis kis ny pora siriyal daikha  ,2
 dse mena nda pakar    ,2
 lackh qatil deer qatil lannath bagharati                 ,0
 bemar murgi hogi dykh kar lyen apni sehat ka soda na kren ,0
 angelina jolie sirf ek kamyab adakara hi nahi balke insaan dost shksiyat ki bhi malik hain ,1
 bhot badiya song he bhai please asi or song banao ,1
 sukanniya yojna ,2
  achi baat hai na more people to agree with  qatil ,1
 qatil mazi ke tajirbat bataye hain ke yai judge bhi jab masnad e adalat par beth jata tha to amomi muhall ki waja se is ki zaheni kefiyat pheley jesi nahi rahiti the or neek naami ki khatir adala oh insaaf se nahi khelta tha ,0
 bohot he aala ,1
 nawaz shareef ny us ky bchon ko sharkain di hainimran khan ny teesre shadi ky siwa kya dia  ek waari fair babar shair qatil ,0
 dosto court ny up gradation case ka mohtasar faisala sunaya udc  ldc wala case jis bandy nay kya hua han us sy detail main baat hoi 16122015 ko iss case ki date the or us din wakeelon ki strike the jis ki waja sy us bandy ka waqeel paish nahi hua magar establishment division and finance division ka waqeel paish ho gaya or unhon ny kaha ky pm ny upgradation ki summary approve kar li han or budget main implement ho jaye ji iss py judge ny case dispose off kar diyedosto agaraparaam se beto gay to wahi summary jo pm ny approved keya han aram se budget me implement ho jaye gi liken jab hum sab koshish kare to summary as per kpk implement ho jaye gi aor yai federal mulazemeen kisath zayadati hai ke kpk ny may 2014 punjab govt ny jan 2016 se implement karaya hai liken federal walay na kpk aor na punjab ki tra kare gay sirf apna summary bana ke implement kra degi court iss chez ko nahi daekh rahe ky pm ny jo summary approve ki han wo as per kpk punjab nahi haabi hamara next gadam kya hogaplz comments ,0
 bhai rahat fatih ali khan shahab ki aawaj    aye hay       ,2
 maryam ky chacha awam ki ek awaz hai we want election awam bohot achy sy samajh gyi hai ky kon sachaa hai kon dramay kar raha hai  ,0
 sholey mane b bhot baar dekhi well done adi epic ,1
 ki udaas firte ho sardiyo ki saamo mai yesa hi to hota hai yese kaamo mai ,2
 or ya theak nahi ha jab intne facilities han to apni zindagi ko mushkil ma dalna or apna ghar waloon ko azab ma dalna wrong han ,0
 larki kapare to koe suit pehen ky ati upar se bethna kitna ganda han ,0
 rana to antakvadi ka sardar hai na ,2
 no baburao y ,2
 out class desent bohot din bad aai hyap,1
 shakal ko koe nahi daikh rahaa qatil ,0
 akshay kumar haryana ki jan ,1
 yai muqtada to nihayat he chawal kisam ka insaan lagta hje ,0
 dunia ka faltu tareen drama   totally fake ,0
 bhopal aai the kya yai sir qatil   ,2
 meri enjoyment to eid ky bd nakli ji ab qatil ,1
 lakh lanat tery jaman ty khoti ka bacha mehngai is kanjar ko nazar nahi aa rahe or imran khan ky peechy parey hoi hain ,1
 yai paka harami hai ,0
 bahut takleef hota hain hum ko        ,1
 is chule me ek sensor laga hai jese hi brtan zada grm ho to chula khudi hlka hojata hai but iske wjha se khana banne me bhout der lgjti hai baar br chula off kar ky on karna prta hai but agrapchahen to sensor niklwa b skty hain but mera mashwra yehi hai ky simple chula is the best usme gas b achi ati hai or band b ni hota or iska yai benefit hai ky matches ki zururt nahi prti cells ki zururt hoti hai ,2
 inka qatil banta qatil yai sab karna ,2
 wada begairat hai yai bhi chor ka bacha ,0
 ek pyu di olad hi agar hai te call kar ,0
 insallah ghaib sey asbaab bane ge qatil ,1
  1962 ky dastur  ko akhri shakal denay main woh manzoor qadir ky dast rast thay ,1
 matlab log quran ko bhool gay hain ,2
 khi me aaj raat 12 bajy se motorcycle ki double sawari per 3 din ky lye pabandi hogi qatil ,0
 yai song sunkar maine bahot roya bhai ,0
 is ky mammay kitnay nechy hai yarrr ,2
 muslim hokar bindi lagae ,2
 akhbarat risale or tareekh par unke gahri nigah the ,1
 ab kya hi bolu me ,2
 ap b shareef hain ise leye main apko shareef lage  ,1
 kasam sey aunti got no chillmagar video puri dekhna ,0
 mustafa saww waloon ky undaz niralay hota han ,1
 wah kamal ka initiative ,1
 data drbaar dkhy ,2
 eli ap ko b ramazan mubarak ,1
 want to see how it is shot    ,1
 han meri girlfriend ny mare phone hack kar liya ,2
 shakal se hi fasadi lagta hai ,0
 d i khan mei bhi jayea naap,1
 bhai mat kra fruad hota hai ,2
 ibrahim ki smile so cute hai ,1
 lanat tery jesy seysatdan par lanat ,0
 bajawar laal musjid hafia sedeqi aimal kaise abdul salam zaif 4000 pakhton gar masmar karna taliban bichna musharaf farviz musharaf he ,0
 amrica key saaf e aual key khaelari mark talboot sey iss doran in ka 13 moqabla hua or in main sey 12 mertaba jahangir khan ny kabyabi hasil ki ,1
 allah raham kren ,1
 ek sawal ke jawab mien mathira ny bataya ke main all rounder rahu or bataur all rounder acting modeling hosting or singing jari rahegi ,1
 nusrat nusrat hi hain ,2
 bat sahi hey wesay qatil btw not saying ky sara qusoor babar azam ka he tha qatil ,0
 lant hi jeappr ,0
 qatil departmental stores main goron ko fokeyat di jate or restaurant main inhe qadrey veran nashiston par khana khana parhta tha ,0
 shadi ek baar hoti hai or rent pae dulhan dress lain ek dress kitni female wear karti ho ji ek baat bolo ga sasta dress wear karlo rent pae shadi ka dress na lo females main aghar koe bimari ho ji wo kise or ko lagy ji or rent pae shadi ka dress lai ky jab agaz he aisa ho ga to dulhan zindagi bhar bikharan he rahay ji bhakmangi or jis ky ghar ka start he rent ky dress ka ho ga to dulha bikhari raa ga shahbaz shareef ki tarha    ,0
 begarto ka tabbar ,0
 bro awn kar iska scene ,1
 muslim league noon ky janazo ko tou kandha dene wala bhi koe nahi ho ga insallah qatil league hai jis ny masom insaan ki jan li li ,0
 jhut ek dm ,0
 har barbar shop per yahi song laga hota han neend aa jate han haircut ke duran ,2
 new khi sindhi hotel ky kareeb firing se bachi janbahaq 2 afraad zakhmi qatil ,0
 lanati chor lanat pdm ,0
 in dono ko kyun mila kya kaam krdiya ,2
 wo ku kuh smaj ni aye bat ,1
 chutiya gando panchod ,0
 pyar bhi corona ki tarah hai jab tak khud ko na ho tab tak mazak hi lagta hai ,2
 lanat ho is kuttay pe jiske waja se logo ko do waqat ka khana bhi mayasar nahi unke hamderdi krny to kabi nahi gia shame on you pmln ,0
 mary inbox aa jaw asy hi tang utha ky      ,2
 kash india main b drama acha banta ,2
 lanat laanat lanat ,0
 bilkul he third class tshirts the yai kyunky inke quality bilkul third class thi maine yai medium size ki mangwaayi the or intne bari or loose aai the yai tou yai meray kise kaam nahi aayi bilkul udaas hun iske quality se or majbore main yai mjhe phenkni he aar gayi ,0
 is bakwas insaan ko kuy ahmiyt dy rhy hoaplog ,0
 apko pora yakeen hai  ,2
 apki ruksar bari hen    ,2
 qatil in ke walid doctor aghomath scientist or philosopher honi ke saath sath nizam college hyderabad deccan ke founder bhi the jab ke walda sundari devi poetess the or bengali zaban main poetry kahti thin ,1
 aai allah hamin bi tasbeeh khani ki barkate naseeb farma ,1
 is gane main khuchh or hi heart touch hai ,1
 kya baat ,1
 ya allah mujhy bhi shahadat ki mout naseeb farma       ,1
 mar dala ,2
 hain   ap beizati krh the meri     mje laga koe lame joke mr raah han  ,0
 indian raw ky lia jasoosi krny wala punjab police ka ahilkar griftar tansibat ki tasaveer baramad mazeed groups bhi mujood hai qatil ,0
 hazar lanat musharaf tuj par or begherat hukamran ,0
 sab ke mobbhat ko mukammal kar                                             ,2
 arslan and asif ali ek saath bohot pyar hai 2no ka mashallah ,1
 chalo teri ma ki chot mare khati ke bachi lanati patwari kyun baji paish kra raha hai mujhe apni bahen ki chot marva kahin or se   ,0
 top me junaid khan ,2
 asi bt na kahy mary sawalo ky jawab ni deay apnay ,2
 bohot din bad lekin bohot achi ,1
 apna gyan apni pas rakh chudel ,2
 hai yai allah ameen mare liye aa ek dua hai ameen ,2
 hearts are broken very badely this is the big and no 1 franches in pakistan  the fan following is also very long  ,0
 kahti hain ke wo hindustan se pakistan anay wale akhri musafir train ke bhi musafir the or mashriqi pakistan se maghrabi pakistan anay wale akhri flight main bhi sawar the ,1
 allah ajar dy apko is ka ameen    ,1
 wah dost wah kya bat kihe ,1
 ya allah madad farmaameeeen ya rab ul aalaa meen ,1
 udhar bhagdar nahi machi hogi  prime minister sab ko khud sary points khud ya apnay minjsters ko bhejna chahiye ta ky log na mrein  ,0
 best uraat hayyy or arshad sahab bhiii waqiii inke baton sy bhi anadaza lagya ja sakta hyy ,1
 oy waha jaaa kar sharmindaghi uthni pari ,1
 khud hi lagwate hain  khud hi defuse karwati hain pagal samajh hua han kiya   awam ky samnay heros bantay hain qatil sab kuch jan chuki han awam ab you cant make them phool anymore ,2
" bilkul he fuzool bekarar or kise bhi kaam ka nahi hai yai product iske quality tou bohot he koe low hai ke maza he nahi aya zara bhi pata nahi aisay quality ka product kaisay bachain ga phone ko pani se khilona lag raha tha koe tou mjhe nahi pata ke yai meray kise kaam bhi aayega ya nahi bohot bura experience tha
 ",0
 tamam preshanian dor ho jaen dua farma den ,1
 yar aisa serial fir se ana chaiye ek baar fir se ,2
 kamm kaam backwas jyada video edit ni kar sakti ,0
 dosry movie ka name kya hai ,2
 jis shakhs ny sare zindagi naziren or tamashayon ke saaminay apni funn ka muzahira karni main guzare ho qatil wo bhala sharmeela kis tarah ho sakta hai qatil lekin haqiqat yai hai ke zia mohyeddin sharmeele hain or is silsile main qatil main apni taraf se kuch kahni ke bajhay khud un ke alfaaz dohrana chahunga ,1
 isko khud psychologist ki zrurt hai ,1
 ya vohi han jo kahta tah ka kashapmery walid hotai ,0
 kyun bakwas kar rahe ho krona is politition point harassed peoplesb bakwas hai main ek doctor hun hame sab pata hai ki yai kuch nahi  ,0
 toba toba rajputni    ,0
 jotumhen rasool den wo lay lo or jis chez se tumhen mana karen us se tum baaz raho allah se daro qatil ,1
 qatil council of foreign relations ny 1986 or 1997 main inhe best teacher ke award se nawaza ,1
 qatil lanat on those mdrchods still supporting chor and thugs jiske wajh se hum 70 saal peeche chale gay hain ,0
 qatil rimsha ka kya haal han ,2
 love yn so much ammi jan allah hum sab ki ammi jan ko hamaisha khush rakha or lambi sehat wale zindagi ata farmaye or jis bhn bhai ki ammi jan is dunya menhi rahe allah unke ammi jan ko jannat ul firdos me aala makam ata farmaye or unko sabar ata farmaye ,1
 dunya oh akhrit ma lanat tahara muqaddar han r in sha allah hamaisha rahay ge ,1
 allah pak in ky saath aglay jahan bhi ho ,1
 dill py lay gye vro   ,1
 vichar ky bachay apni shakal check karo qatil lanat qatil teri pr qatil pmln zindah bad ,0
 mila wahi jo pic main han but quality nahi theak ,0
 maripor me police ki karrawai 2 lgw molah zubir group karnede giriftar qatil ,0
 lanat hai ,0
 qatil wo khud bhi mutarannum the is liye inho na asi lafzyat ka intakhab kya jo ghanaiyat ke peykar par pore utarte hai ,1
 mashallah       allah pakapko kamyabi dy ameen ,1
 pata nahi tum kon sa constitution follow kartay ho wo election nahi larh sakta campaign py koe pabandi nahi hoti plz huwa main firing na keya karo pehly kuch rules jan leya karo bs apnyapsy rules bana letay ho ,0
 qatil un dino kenya main summer cup tournament khela jar aha tha or mushtaq ahmed unfit ho gai the ,0
 kya baat hai bhai ka ,1
 jin se inho ny lakhon dollars kharich kar ke jan churae hai ,0
 hahahahah idea axhw hai qatil api ,1
 main to barhe tassuf ke saath yai batana chah raha hon ke is se hamari funn oh saqafat ke shobay ki kaam maeiygi or mehroomi ka izhar hota hai ,0
 to undono husband wife ki larai karwa dy bablo qatil ,0
 aysay wakiyay sirf pmln he krwa sakti hai agar pti nayn krway hain to mard bano or aisa karo awam saamnayn unke pic dikha ky k is nayn pti ki railay main yay ruksaan kya or unhay sar e aam phansi do ,1
 qatil alipur jail main in ki mulaqat calcutta corporation ke us waqat ke meyar mohammed usman se hui ,0
 ku teri bedroom me bhi ghuse the ,0
 bhai agar marital rape ka scene hai to phir to bye bye banta hai ,2
 hard role bhai     ,2
 apneapko bhech diya is biharan ny hum to inhe accha samajhti the ,1
 wah wah wah ,1
 yai tiktok kyun ghusaya he ismay sara mza khrab krdya ,0
 yey 9 may banda tery andr kar dy saalo ,1
 madarchod kuchh bhi pel deti ho ,2
 mashallahapdonon hamaisha khush rahe       ,1
 qatil us waqat chief justice of pakistan janab justice saeed uz zaman sidiqi or kai dosre baradar judge pco ke tehat halaf uthane par tayaar na howae to unhen retired kar deya gaya ,0
 mushtaq minhas allahapko sada salamat rakhy ,1
 lanti boot polish ,0
 jani im brown im light brown sardion main and dark brown garmiyon main also broke 247 so yeah ,1
 okara me tagra muqabla hoga qatil ,1
 lyari singoline me firing se 1 zakhmi qatil ,0
 samajh sy baar han kyun jatey han log in fasol actives mtk hai imran khan psnd hai vote do in ko ,0
 kya cartoon musalat kar deya hai iss mulk pa ,1
 fan e adakari ke shobay main abid ali ko ek legend ki haisiyat hasil hai ,1
 bahut acha drama episode hai bhai       i aam from india          ,1
 jhoot yahan sey pakra jata hai ky agar ek gift sell out sey agar pakistan ko 6billion dollars nahi milay tau phir tau jo kuchapk asli baap zardari or nawaz ny beich deya gifts apnay samajh ker us ki waja se tau phir saudia hamay kabhi zindagi mey mu na lagay  secondlyaptau esa lag raha hai jesey king salman ky bettey hain jo samnay beth ker email ka print parh rahay thay bulkay apnay he parha tha woh un ky liye kyu ky unhay tau parhna aata nahi tha     ,0
 sexualized ker ky ,0
 thank yn so much for making this kind of love story mare to hosh urgai mohabbat kya hota hai wo samajh lya is mohabbat ki aga hamari mohabbat bas ek time pas nikli ab to mare ekhe khwaees yai hai ky ekbar feroz qatil khan sir or iqra aziz mam se jarur mila lots of love from bangladesh          ,2
 sir daily 1 episode nikaliye ,2
 sahi me yai lufanga or bantiyar hai esharo me modi virodhi bhi hai ,2
 teri aukaat hee kya hai gaali dene ke siwaaaur jitnaa bhi kamaataa hai uss se kaam dimaagh or manners bhi hoti tou yahan iss tarah bakwas na kar raha hota tu ,2
 is waqat main ,1
 dog sahir lodhi ,0
 agla episode kab daloge kitni din ho gye wait karti huye dear ,2
 mian biwi jan bahaq qatil ,0
 honestly speaking mary pas to is family or in logo ky liye good wishes b nahi hain ,2
 as salamoalikum hakeem sahab jo shaks fazool goi aor fazool wsawas aor dosro se bilawja bat by bat jhagarta ho asy shaks ky liye kuch btaein please yan to wo shaks chup rhy yan phir jab b boly to acha boly please hakeem sahab ap ko allah shad oh abad rakhy ameen sum ameen please meri madat kar dein ,1
 bakwas band krpakistan ka qaumi baiwkoof ,0
 imran khan sy ek request han ky is election ma jany ka koe faida nahi na league or ppp nay election nahi maan na ,0
 bgyrat khine ky ,0
 pakeza muhabat me rona hi pdta hai dost qatil ,2
 munawwar rana aasu aa gai ,2
 kuch khaas nahi hai ,0
 bilkul sahekoi bhi in ky parents ko blame nhe kar rahaunfortunately un ka kaam yahi haim just surprised at people wo attended and participate sach shows ,0
 goor nahi kia  he said dont be tharki tag tharki qatil ,0
 aaj nasir kazmi ki 41th barsi manai jarahi hai qatil ,0
 apko hi lagta hai bs ,0
 online bapbat ho sakatay hain website par form fill kar ky or akhri ramazan ky akhir main b online bait kya jaye gaap apni masyal ky haal ky lia har waqat ya musabibal asbaab parhty rahai khula hazaro lakhon ki tadaad main or website se dars sunain 70 se 90 in sha allah apkay masyal allah haal kar dy ga ,1
 yar tym pata chali kab ata raat m  ,1
 naak ke ander sapa karo ,2
 chor chor without any opposition yn got the vote allah will punish you ,0
 uk      laannat baijta ahh wo b sukhi sukhi ,0
 ab yai na kahna banda ab mzaq bh na kre  ,0
 mast song ,1
apjis kahndan se hen hamen un perapper fakhar he allahapko hifzo aman me rakhay ,1
 neyat saaf nahin uske shaka se lag raha ,0
 very nice episode bohot mza aya dekhna main ,1
 allah asi 4 betian bhi dain apko ,1
 karimabad me firing se 1 shakhs janbahaq qatil ,0
 elimi kitaabi muslim    ,0
 oh mary chanda kar deya hai help isttaat ky motabiq sab nay yai to bykaar content py bakwas marty han ,2
 lakh lanat saday tay       ,0
 good luck mgr ya batman car qatil zara c b nahi lag rahe ,0
 election krao mulk bachao ,1
 school se kyun nahin mil pa raha pora gyan school ki fees maf kar do free ki tution band kar do ,2
 main un dm karni walo ki izzat karta hun warana zaroor or rolta ,0
 jahil ko sab jahil hi dikhi dete hai  aman hindi nahi punjabi naam hai  dusri baat nakli or nasli me qatil frk hita hai  theak hai nakli  ,0
 dono mashallah bohot payara hai   ,1
 mare pas alfaaz he kaam pad jatay hai ustad gapki tareef main ,1
 kya inko kha bhi saktay han ,2
 chutia bana rahe hai qatil no record found ata hai sab esme ,0
 hahahaha main is main tumhay tag karnay wale thi  ,1
 tyri maan ki chot ghashti ky bchy tyri maan ko poura pakistan chody or tyri maan ki chot kat qatil kar fry kar ky tujhay khilaon ga tyri bahen beti bewi ki chot main poura pakistan lun mary ga kuttay ky pily ,0
 jo log apna asal kabool nahi karta wo kamyab bhi ho jyn to kya faida ,0
 khudari or emandari ky alaa namonay ,1
 mafia mafia ke saath mil gaya yah mafia imran khan ki hakomat main chizen mahangi karta tha ,0
 hamara chanda kuch sunta hi nahi ,0
 itna tme ko ni pai   ,0
 lanti begairt mulk dushman fitna insaan                 ,0
 hehehe daisi gora ,0
 vid to daal dete hai likh bhi diya karo niche kya kya dala hai       ,1
 lekin hamara kon daikha kon nahi yai bhi pata nahi chlega ,2
 india aar pakistan phirse dost hjye          love from india    ,2
 buht maze ka ost hai          ,1
 please mjhe jitwa do ek ,1
 billing bohot ziyadaaaaaaaaaaaaa aati hy ,0
 bhai ap ko ghar may koe kaam nahi ho ga ap positive hai naapkro kaam apna  may nay ap ko txt kya tha   bekar may comments may gus aye ap jahan jaha jatye family ko ap jow bhoot time hyapk pas  mary pholopher banye ky koe ahaq nhi professional bhee bhoot acha hai har araye qarye ko nahi batata plz ap txt kar ky mera time khrab mat krye ,2
 eid mubarak mubarak shoaib malik sania mirza ,1
